date,blood_type,demand
2019-01-01,a,391
2019-01-01,ab,102
2019-01-01,b,516
2019-01-01,o,547
2019-01-02,a,242
2019-01-02,ab,58
2019-01-02,b,287
2019-01-02,o,289
2019-01-03,a,320
2019-01-03,ab,110
2019-01-03,b,518
2019-01-03,o,529
2019-01-04,a,220
2019-01-04,ab,47
2019-01-04,b,266
2019-01-04,o,248
2019-01-05,a,288
2019-01-05,ab,72
2019-01-05,b,378
2019-01-05,o,356
2019-01-06,a,576
2019-01-06,ab,129
2019-01-06,b,605
2019-01-06,o,672
2019-01-07,a,163
2019-01-07,ab,43
2019-01-07,b,276
2019-01-07,o,253
2019-01-08,a,353
2019-01-08,ab,106
2019-01-08,b,361
2019-01-08,o,490
2019-01-09,a,519
2019-01-09,ab,111
2019-01-09,b,567
2019-01-09,o,584
2019-01-10,a,488
2019-01-10,ab,103
2019-01-10,b,573
2019-01-10,o,575
2019-01-11,a,330
2019-01-11,ab,73
2019-01-11,b,370
2019-01-11,o,490
2019-01-12,a,389
2019-01-12,ab,76
2019-01-12,b,366
2019-01-12,o,470
2019-01-13,a,732
2019-01-13,ab,174
2019-01-13,b,698
2019-01-13,o,918
2019-01-14,a,281
2019-01-14,ab,92
2019-01-14,b,348
2019-01-14,o,376
2019-01-15,a,412
2019-01-15,ab,112
2019-01-15,b,974
2019-01-15,o,618
2019-01-16,a,533
2019-01-16,ab,106
2019-01-16,b,492
2019-01-16,o,533
2019-01-17,a,519
2019-01-17,ab,97
2019-01-17,b,676
2019-01-17,o,832
2019-01-18,a,312
2019-01-18,ab,75
2019-01-18,b,349
2019-01-18,o,324
2019-01-19,a,344
2019-01-19,ab,76
2019-01-19,b,426
2019-01-19,o,451
2019-01-20,a,590
2019-01-20,ab,137
2019-01-20,b,1394
2019-01-20,o,1024
2019-01-21,a,730
2019-01-21,ab,198
2019-01-21,b,1079
2019-01-21,o,1067
2019-01-22,a,208
2019-01-22,ab,57
2019-01-22,b,290
2019-01-22,o,329
2019-01-23,a,488
2019-01-23,ab,142
2019-01-23,b,789
2019-01-23,o,839
2019-01-24,a,541
2019-01-24,ab,114
2019-01-24,b,699
2019-01-24,o,679
2019-01-25,a,385
2019-01-25,ab,104
2019-01-25,b,467
2019-01-25,o,579
2019-01-26,a,807
2019-01-26,ab,93
2019-01-26,b,556
2019-01-26,o,514
2019-01-27,a,602
2019-01-27,ab,105
2019-01-27,b,968
2019-01-27,o,779
2019-01-28,a,274
2019-01-28,ab,73
2019-01-28,b,352
2019-01-28,o,404
2019-01-29,a,420
2019-01-29,ab,78
2019-01-29,b,514
2019-01-29,o,564
2019-01-30,a,550
2019-01-30,ab,107
2019-01-30,b,643
2019-01-30,o,615
2019-01-31,a,457
2019-01-31,ab,106
2019-01-31,b,484
